Year,State,District,Water Level
2021-22,Uttar Pradesh,Ghazipur,0 to 2 Post Monsoon (in mbgl)
2021-22,Delhi,South-East Delhi,5 to 10 Post Monsoon (in mbgl)
2019-20,Bihar,Darbhanga,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Dibang Valley,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Varanasi,5 to 10 Post Monsoon (in mbgl)
2021-22,Haryana,Jhajjar,20 to 40 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Lohit,2 to 5 Post Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Budgam,2 to 5 Post Monsoon (in mbgl)
2020-21,Maharashtra,Akola,2 to 5 Post Monsoon (in mbgl)
2019-20,Odisha,Deogarh,2 to 5 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Lepa Rada,5 to 10 Post Monsoon (in mbgl)
2019-20,Rajasthan,Bundi,0 to 2 Post Monsoon (in mbgl)
2021-22,Kerala,Kannur,5 to 10 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Nagapattinam,0 to 2 Post Monsoon (in mbgl)
2021-22,Delhi,North-West Delhi,2 to 5 Post Monsoon (in mbgl)
2021-22,West Bengal,Malda,2 to 5 Post Monsoon (in mbgl)
2020-21,Maharashtra,Raigad,0 to 2 Post Monsoon (in mbgl)
2019-20,Maharashtra,Aurangabad,5 to 10 Post Monsoon (in mbgl)
2020-21,Maharashtra,Pune,0 to 2 Post Monsoon (in mbgl)
2019-20,Himachal Pradesh,Kullu,5 to 10 Post Monsoon (in mbgl)
2020-21,Odisha,Kandhamal,5 to 10 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Dindigul,0 to 2 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Katni,5 to 10 Post Monsoon (in mbgl)
2019-20,Maharashtra,Washim,5 to 10 Post Monsoon (in mbgl)
2019-20,Haryana,Kaithal,20 to 40 Post Monsoon (in mbgl)
2020-21,Gujarat,Dohad,5 to 10 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Etawah,20 to 40 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Umaria,5 to 10 Post Monsoon (in mbgl)
2019-20,Maharashtra,Nanded,5 to 10 Post Monsoon (in mbgl)
2019-20,Rajasthan,Dhaulpur,5 to 10 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Dewas,5 to 10 Post Monsoon (in mbgl)
2021-22,Telangana,Hyderabad,2 to 5 Post Monsoon (in mbgl)
2021-22,Telangana,Ranga Reddy,2 to 5 Post Monsoon (in mbgl)
2021-22,Haryana,Mewat,20 to 40 Post Monsoon (in mbgl)
2021-22,Odisha,Subarnapur,2 to 5 Post Monsoon (in mbgl)
2020-21,Arunachal Pradesh,East Siang,0 to 2 Post Monsoon (in mbgl)
2019-20,West Bengal,Dakshin Dinajpur,2 to 5 Post Monsoon (in mbgl)
2019-20,Punjab,Rupnagar,5 to 10 Post Monsoon (in mbgl)
2020-21,Odisha,Kendujhar,2 to 5 Post Monsoon (in mbgl)
2020-21,Rajasthan,Churu,20 to 40 Post Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Reasi,0 to 2 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Virudhunagar,5 to 10 Post Monsoon (in mbgl)
2020-21,Bihar,Begusarai,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Ratlam,5 to 10 Post Monsoon (in mbgl)
2021-22,Bihar,Purnia,2 to 5 Post Monsoon (in mbgl)
2021-22,Himachal Pradesh,Chamba,N.A. Post Monsoon (in mbgl)
2020-21,Assam,Golaghat,2 to 5 Post Monsoon (in mbgl)
2020-21,Bihar,Nawada,2 to 5 Post Monsoon (in mbgl)
2020-21,Karnataka,Udupi,5 to 10 Post Monsoon (in mbgl)
2021-22,Punjab,Fazilka,10 to 20 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Surguja,2 to 5 Post Monsoon (in mbgl)
2021-22,Maharashtra,Parbhani,2 to 5 Post Monsoon (in mbgl)
2019-20,Maharashtra,Jalna,5 to 10 Post Monsoon (in mbgl)
2019-20,Punjab,Hoshiarpur,5 to 10 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Upper Subansiri,0 to 2 Post Monsoon (in mbgl)
2019-20,Rajasthan,Tonk,2 to 5 Post Monsoon (in mbgl)
2019-20,West Bengal,Jhargram,2 to 5 Post Monsoon (in mbgl)
2020-21,Meghalaya,South West Garo Hills,2 to 5 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Tiruvallur,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Jalaun,5 to 10 Post Monsoon (in mbgl)
2020-21,Karnataka,Kodagu,5 to 10 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Rae Bareli,2 to 5 Post Monsoon (in mbgl)
2021-22,Telangana,Khammam,2 to 5 Post Monsoon (in mbgl)
2019-20,Punjab,Patiala,20 to 40 Post Monsoon (in mbgl)
2020-21,Gujarat,Navsari,2 to 5 Post Monsoon (in mbgl)
2021-22,Tripura,Sipahijala,2 to 5 Post Monsoon (in mbgl)
2021-22,Maharashtra,Kolhapur,0 to 2 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Umaria,5 to 10 Post Monsoon (in mbgl)
2021-22,Meghalaya,South Garo Hills,0 to 2 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Bijnor,10 to 20 Post Monsoon (in mbgl)
2020-21,Andhra Pradesh,Anantapur,5 to 10 Post Monsoon (in mbgl)
2020-21,Telangana,Vikarabad,10 to 20 Post Monsoon (in mbgl)
2020-21,Haryana,Ambala,10 to 20 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Korba,2 to 5 Post Monsoon (in mbgl)
2020-21,Jharkhand,Kodarma,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Bhopal,2 to 5 Post Monsoon (in mbgl)
2019-20,Andhra Pradesh,East Godavari,0 to 2 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Kondagaon,2 to 5 Post Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Doda,2 to 5 Post Monsoon (in mbgl)
2019-20,Gujarat,Porbandar,10 to 20 Post Monsoon (in mbgl)
2020-21,Telangana,Mancherial,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Anuppur,2 to 5 Post Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Ramban,0 to 2 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Namasai,2 to 5 Post Monsoon (in mbgl)
2021-22,West Bengal,Jalpaiguri,2 to 5 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Theni,5 to 10 Post Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Bandipora,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Koriya,2 to 5 Post Monsoon (in mbgl)
2019-20,Maharashtra,Pune,5 to 10 Post Monsoon (in mbgl)
2020-21,West Bengal,Darjeeling,2 to 5 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Thanjavur,0 to 2 Post Monsoon (in mbgl)
2020-21,Goa,Mormugao,0 to 2 Post Monsoon (in mbgl)
2019-20,Gujarat,Mahesana,5 to 10 Post Monsoon (in mbgl)
2019-20,Meghalaya,South West Khasi Hills,0 to 2 Post Monsoon (in mbgl)
2021-22,Telangana,Kumuram Bheem,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Gautam Buddha Nagar,20 to 40 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Rewa,5 to 10 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Kanpur Dehat,5 to 10 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Narsinghpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttarakhand,Haridwar,2 to 5 Post Monsoon (in mbgl)
2020-21,Gujarat,Tapi,2 to 5 Post Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Poonch,N.A. Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Chennai,2 to 5 Post Monsoon (in mbgl)
2019-20,Meghalaya,South Garo Hills,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Dewas,5 to 10 Post Monsoon (in mbgl)
2020-21,Delhi,North Delhi,5 to 10 Post Monsoon (in mbgl)
2019-20,Meghalaya,Ri Bhoi,2 to 5 Post Monsoon (in mbgl)
2020-21,Meghalaya,South West Khasi Hills,0 to 2 Post Monsoon (in mbgl)
2019-20,Telangana,Jangaon,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Ujjain,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Chandauli,5 to 10 Post Monsoon (in mbgl)
2019-20,Goa,Quepem,2 to 5 Post Monsoon (in mbgl)
2020-21,Delhi,New Delhi,20 to 40 Post Monsoon (in mbgl)
2020-21,Assam,Kokrajhar,2 to 5 Post Monsoon (in mbgl)
2021-22,Karnataka,Mysore,0 to 2 Post Monsoon (in mbgl)
2019-20,Gujarat,Jamnagar,5 to 10 Post Monsoon (in mbgl)
2019-20,Assam,Morigaon,2 to 5 Post Monsoon (in mbgl)
2020-21,Gujarat,Botad,2 to 5 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Shahdol,5 to 10 Post Monsoon (in mbgl)
2020-21,Gujarat,Mahisagar,2 to 5 Post Monsoon (in mbgl)
2021-22,Odisha,Deogarh,2 to 5 Post Monsoon (in mbgl)
2021-22,Jharkhand,Deoghar,2 to 5 Post Monsoon (in mbgl)
2020-21,Bihar,Purnia,2 to 5 Post Monsoon (in mbgl)
2019-20,Telangana,Mahabubabad,2 to 5 Post Monsoon (in mbgl)
2020-21,Delhi,West Delhi,10 to 20 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Sitapur,2 to 5 Post Monsoon (in mbgl)
2020-21,Punjab,Hoshiarpur,5 to 10 Post Monsoon (in mbgl)
2020-21,Bihar,Gopalganj,2 to 5 Post Monsoon (in mbgl)
2019-20,Odisha,Sambalpur,2 to 5 Post Monsoon (in mbgl)
2020-21,Karnataka,Bijapur,0 to 2 Post Monsoon (in mbgl)
2020-21,Uttarakhand,Pauri Garhwal,>15 Post Monsoon (in mbgl)
2021-22,Odisha,Kandhamal,5 to 10 Post Monsoon (in mbgl)
2019-20,Odisha,Kalahandi,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Mainpuri,2 to 5 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Kurnool,2 to 5 Post Monsoon (in mbgl)
2019-20,West Bengal,Hooghly,10 to 20 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Surguja,2 to 5 Post Monsoon (in mbgl)
2020-21,Rajasthan,Jaisalmer,20 to 40 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,West Kameng,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Siwan,0 to 2 Post Monsoon (in mbgl)
2020-21,Bihar,Vaishali,2 to 5 Post Monsoon (in mbgl)
2019-20,Gujarat,Vadodara,5 to 10 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Tikamgarh,5 to 10 Post Monsoon (in mbgl)
2019-20,West Bengal,Jalpaiguri,2 to 5 Post Monsoon (in mbgl)
2021-22,Delhi,New Delhi,20 to 40 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Jhabua,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Mathura,2 to 5 Post Monsoon (in mbgl)
2020-21,Andaman and Nicobar Islands,Long Island,0 to 2 Post Monsoon (in mbgl)
2020-21,Telangana,Kumuram Bheem,5 to 10 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Kanpur Dehat,5 to 10 Post Monsoon (in mbgl)
2021-22,Rajasthan,Karauli,10 to 20 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Madurai,2 to 5 Post Monsoon (in mbgl)
2019-20,Assam,South Salmara Mankachar,0 to 2 Post Monsoon (in mbgl)
2021-22,Gujarat,Ahmedabad,2 to 5 Post Monsoon (in mbgl)
2019-20,Odisha,Bargarh,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Panna,5 to 10 Post Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Shopian,2 to 5 Post Monsoon (in mbgl)
2020-21,Odisha,Jharsuguda,0 to 2 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Jabalpur,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Bhadohi,10 to 20 Post Monsoon (in mbgl)
2020-21,Rajasthan,Sirohi,2 to 5 Post Monsoon (in mbgl)
2020-21,Gujarat,Bhavnagar,2 to 5 Post Monsoon (in mbgl)
2019-20,West Bengal,Purulia,2 to 5 Post Monsoon (in mbgl)
2020-21,Haryana,Rewari,20 to 40 Post Monsoon (in mbgl)
2020-21,Gujarat,Banaskantha,10 to 20 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Ross Island,0 to 2 Post Monsoon (in mbgl)
2020-21,Haryana,Yamuna Nagar,10 to 20 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Ballia,5 to 10 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Ambedkar Nagar,5 to 10 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Jabalpur,2 to 5 Post Monsoon (in mbgl)
2019-20,Karnataka,Kodagu,5 to 10 Post Monsoon (in mbgl)
2020-21,Assam,Hailakandi,0 to 2 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Kanker (North Bastar),2 to 5 Post Monsoon (in mbgl)
2021-22,West Bengal,Bankura,0 to 2 Post Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Pakke Kessang,0 to 2 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Saharanpur,5 to 10 Post Monsoon (in mbgl)
2019-20,Andhra Pradesh,Y.S.R. (Kadapa),10 to 20 Post Monsoon (in mbgl)
2020-21,Punjab,Muktsar,2 to 5 Post Monsoon (in mbgl)
2020-21,West Bengal,Malda,0 to 2 Post Monsoon (in mbgl)
2021-22,Punjab,Fatehgarh Sahib,20 to 40 Post Monsoon (in mbgl)
2021-22,Telangana,Jayashankar Bhupalpally,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Sanguem,5 to 10 Post Monsoon (in mbgl)
2019-20,Chandigarh,Chandigarh,10 to 20 Post Monsoon (in mbgl)
2019-20,Punjab,Muktsar,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttarakhand,Almora,10 to 20 Post Monsoon (in mbgl)
2020-21,Maharashtra,Dhule,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Lakhimpur,0 to 2 Post Monsoon (in mbgl)
2021-22,Karnataka,Bangalore Urban,2 to 5 Post Monsoon (in mbgl)
2019-20,Telangana,Kamareddy,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Balaghat,2 to 5 Post Monsoon (in mbgl)
2019-20,Punjab,Ferozepur,10 to 20 Post Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Kathua,0 to 2 Post Monsoon (in mbgl)
2020-21,Delhi,Shahdara,10 to 20 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Neil Island,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Katni,5 to 10 Post Monsoon (in mbgl)
2020-21,Haryana,Jind,10 to 20 Post Monsoon (in mbgl)
2020-21,Bihar,Jamui,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Hardoi,2 to 5 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Kamle,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Golaghat,2 to 5 Post Monsoon (in mbgl)
2020-21,Karnataka,Bagalkot,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Balaghat,2 to 5 Post Monsoon (in mbgl)
2019-20,Karnataka,Dakshina Kannada,5 to 10 Post Monsoon (in mbgl)
2019-20,Bihar,West Champaran,2 to 5 Post Monsoon (in mbgl)
2019-20,Maharashtra,Nagpur,2 to 5 Post Monsoon (in mbgl)
2019-20,Rajasthan,Jhunjhunu,>40 Post Monsoon (in mbgl)
2019-20,Odisha,Sundargarh,2 to 5 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Bastar,2 to 5 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Thoothukudi,2 to 5 Post Monsoon (in mbgl)
2020-21,Telangana,Jogulamba Gadwal,10 to 20 Post Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Shi Yomi,5 to 10 Post Monsoon (in mbgl)
2021-22,Gujarat,Jamnagar,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Kannauj,20 to 40 Post Monsoon (in mbgl)
2019-20,Nagaland,Phek,20 to 40 Post Monsoon (in mbgl)
2019-20,West Bengal,Cooch Behar,2 to 5 Post Monsoon (in mbgl)
2019-20,Maharashtra,Bhandara,2 to 5 Post Monsoon (in mbgl)
2021-22,Kerala,Thrissur,5 to 10 Post Monsoon (in mbgl)
2020-21,Bihar,Siwan,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Siddharth Nagar,0 to 2 Post Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Kulgam,10 to 20 Post Monsoon (in mbgl)
2020-21,Odisha,Nayagarh,0 to 2 Post Monsoon (in mbgl)
2019-20,Andhra Pradesh,Prakasam,5 to 10 Post Monsoon (in mbgl)
2020-21,Odisha,Sundargarh,2 to 5 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Sidhi,5 to 10 Post Monsoon (in mbgl)
2020-21,Assam,Goalpara,2 to 5 Post Monsoon (in mbgl)
2021-22,Gujarat,Botad,2 to 5 Post Monsoon (in mbgl)
2020-21,Maharashtra,Ratnagiri,0 to 2 Post Monsoon (in mbgl)
2019-20,Odisha,Jagatsinghapur,0 to 2 Post Monsoon (in mbgl)
2021-22,Jharkhand,Hazaribagh,2 to 5 Post Monsoon (in mbgl)
2019-20,Bihar,Nawada,2 to 5 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Gariyaband,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Sitapur,2 to 5 Post Monsoon (in mbgl)
2019-20,Tripura,South Tripura,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Varanasi,10 to 20 Post Monsoon (in mbgl)
2019-20,Maharashtra,Thane,2 to 5 Post Monsoon (in mbgl)
2020-21,Bihar,Madhubani,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Prakasam,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Shivpuri,2 to 5 Post Monsoon (in mbgl)
2020-21,Himachal Pradesh,Sirmaur,5 to 10 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,South Andaman,0 to 2 Post Monsoon (in mbgl)
2019-20,Gujarat,Banaskantha,20 to 40 Post Monsoon (in mbgl)
2019-20,Maharashtra,Beed,5 to 10 Post Monsoon (in mbgl)
2019-20,Uttarakhand,Pauri Garhwal,10 to 20 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Kaushambi,10 to 20 Post Monsoon (in mbgl)
2020-21,Assam,Majuli,0 to 2 Post Monsoon (in mbgl)
2020-21,Himachal Pradesh,Shimla,N.A. Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Lower Subansiri,2 to 5 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Chittoor,2 to 5 Post Monsoon (in mbgl)
2020-21,Odisha,Angul,2 to 5 Post Monsoon (in mbgl)
2019-20,Rajasthan,Nagaur,>40 Post Monsoon (in mbgl)
2021-22,Karnataka,Chitradurga,0 to 2 Post Monsoon (in mbgl)
2021-22,Rajasthan,Dungarpur,2 to 5 Post Monsoon (in mbgl)
2020-21,Meghalaya,West Jaintia Hills,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Visakhapatnam,0 to 2 Post Monsoon (in mbgl)
2020-21,Delhi,North-East Delhi,5 to 10 Post Monsoon (in mbgl)
2019-20,Kerala,Kottayam,2 to 5 Post Monsoon (in mbgl)
2019-20,West Bengal,South 24 Parganas,10 to 20 Post Monsoon (in mbgl)
2020-21,Odisha,Koraput,2 to 5 Post Monsoon (in mbgl)
2019-20,Maharashtra,Satara,5 to 10 Post Monsoon (in mbgl)
2021-22,Uttarakhand,Bageshwar,10 to 20 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Upper Subansiri,0 to 2 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Raigarh,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Sant Kabir Nagar,0 to 2 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Dharmapuri,5 to 10 Post Monsoon (in mbgl)
2021-22,Uttarakhand,Nainital,>15 Post Monsoon (in mbgl)
2019-20,Tripura,Unokoti,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Mungeli,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Tinsukia,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Budaun,10 to 20 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Chhatarpur,5 to 10 Post Monsoon (in mbgl)
2020-21,Telangana,Medak,2 to 5 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Balrampur,2 to 5 Post Monsoon (in mbgl)
2020-21,Meghalaya,South Garo Hills,2 to 5 Post Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Papum Pare,0 to 2 Post Monsoon (in mbgl)
2020-21,Arunachal Pradesh,East Kameng,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Muzaffarpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,West Siang,0 to 2 Post Monsoon (in mbgl)
2021-22,Daman and Diu,Daman,0 to 2 Post Monsoon (in mbgl)
2020-21,Odisha,Subarnapur,0 to 2 Post Monsoon (in mbgl)
2019-20,Karnataka,Chikballapura,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Bhind,5 to 10 Post Monsoon (in mbgl)
2020-21,Meghalaya,North Garo Hills,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Balod,2 to 5 Post Monsoon (in mbgl)
2019-20,Maharashtra,Sindhudurg,2 to 5 Post Monsoon (in mbgl)
2021-22,Rajasthan,Banswara,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Sant Ravidas Nagar,10 to 20 Post Monsoon (in mbgl)
2021-22,Jharkhand,East Singhbhum,0 to 2 Post Monsoon (in mbgl)
2020-21,Andhra Pradesh,Chittoor,10 to 20 Post Monsoon (in mbgl)
2019-20,Rajasthan,Sri Ganganagar,10 to 20 Post Monsoon (in mbgl)
2019-20,Bihar,Vaishali,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Jashpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Amroha,10 to 20 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Tirupathur,5 to 10 Post Monsoon (in mbgl)
2020-21,West Bengal,Uttar Dinajpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Haryana,Bhiwani,5 to 10 Post Monsoon (in mbgl)
2020-21,Telangana,Hyderabad,2 to 5 Post Monsoon (in mbgl)
2021-22,Tripura,South Tripura,2 to 5 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Indore,5 to 10 Post Monsoon (in mbgl)
2019-20,Kerala,Palakkad,2 to 5 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Jashpur,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Mainpuri,5 to 10 Post Monsoon (in mbgl)
2021-22,Karnataka,Hassan,5 to 10 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Shravasti,2 to 5 Post Monsoon (in mbgl)
2020-21,Karnataka,Mysore,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Amroha,10 to 20 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Dindigul,10 to 20 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Amethi,2 to 5 Post Monsoon (in mbgl)
2021-22,Karnataka,Raichur,2 to 5 Post Monsoon (in mbgl)
2020-21,Rajasthan,Chittorgarh,5 to 10 Post Monsoon (in mbgl)
2019-20,Karnataka,Raichur,5 to 10 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Shi Yomi,5 to 10 Post Monsoon (in mbgl)
2020-21,Bihar,Muzaffarpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Barpeta,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Dima Hasao,0 to 2 Post Monsoon (in mbgl)
2019-20,Uttarakhand,Dehradun,10 to 20 Post Monsoon (in mbgl)
2021-22,Tripura,North Tripura,2 to 5 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Dhamtari,2 to 5 Post Monsoon (in mbgl)
2020-21,Kerala,Thiruvananthapuram,5 to 10 Post Monsoon (in mbgl)
2020-21,Rajasthan,Sawai Madhopur,5 to 10 Post Monsoon (in mbgl)
2021-22,Bihar,East Champaran,2 to 5 Post Monsoon (in mbgl)
2019-20,Andhra Pradesh,Visakhapatnam,0 to 2 Post Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Pulwama,20 to 40 Post Monsoon (in mbgl)
2020-21,Himachal Pradesh,Bilaspur,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttarakhand,Rudraprayag,10 to 20 Post Monsoon (in mbgl)
2021-22,Assam,Baksa,2 to 5 Post Monsoon (in mbgl)
2021-22,Himachal Pradesh,Shimla,N.A. Post Monsoon (in mbgl)
2019-20,Andhra Pradesh,Kurnool,2 to 5 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Kurung Kumey,0 to 2 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Kanyakumari,5 to 10 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Tirunelveli,0 to 2 Post Monsoon (in mbgl)
2020-21,Haryana,Palwal,5 to 10 Post Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Rajauri,0 to 2 Post Monsoon (in mbgl)
2020-21,Karnataka,Bangalore Urban,0 to 2 Post Monsoon (in mbgl)
2020-21,Kerala,Ernakulam,5 to 10 Post Monsoon (in mbgl)
2019-20,Jharkhand,Saraikela Kharsawan,5 to 10 Post Monsoon (in mbgl)
2020-21,Maharashtra,Sangli,0 to 2 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Balrampur,2 to 5 Post Monsoon (in mbgl)
2020-21,Karnataka,Chikballapura,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Bhopal,2 to 5 Post Monsoon (in mbgl)
2020-21,Rajasthan,Dungarpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Telangana,Warangal Urban,2 to 5 Post Monsoon (in mbgl)
2020-21,Goa,Bardez,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Kanpur Nagar,5 to 10 Post Monsoon (in mbgl)
2021-22,West Bengal,Purba Barddhaman,5 to 10 Post Monsoon (in mbgl)
2019-20,Jharkhand,Chatra,5 to 10 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Tikamgarh,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Sheopur,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Chitrakoot,10 to 20 Post Monsoon (in mbgl)
